From,To,Strength,Technique,Description,Collator,Reference
Substantia innominata (SI),Lateral habenula (LH),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes small puffs of labelled fibre in lateral and medial parts of nucleus.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral nucleus of the amygdala (LA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Mediodorsal nucleus of the thalamus (MD),moderate,PHAL,"Case pg350, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes denser terminal field.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral hypothalamic area suprafornical region (LHAs),very strong,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Substantia innominata (SI),Infralimbic area (ILA),moderate/strong,Fluorogold,"Labeling was restricted to [] regions of the BF; that is, to SI, DBh and the medial and LS. Collator note: see Fig. 8 E-G, Swanson Atlas Levels 12-16.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Substantia innominata (SI),Anterior amygdaloid area (AAA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Basolateral nucleus of the amygdala (BLA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,CTB,"Retrogradely labeled neurons were found in the [...] substantia innominata (Fig. 4F) [...]. Collator note: Atlas 28-29, but the topography of the external capsule does not match with Fig 4F.",Mihail Bota,"Shin J.W., Geerling... - Inputs to the ventrolateral bed nucleus... (2008) , pp. 628-657"
Substantia innominata (SI),Central nucleus of amygdala (CEA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes numerous varicose fibres in medial segment.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Entorhinal area (ENT),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral habenula (LH),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes small puffs of labelled fibre in lateral and medial parts of nucleus.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral nucleus of the amygdala (LA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Mediodorsal nucleus of the thalamus (MD),moderate,PHAL,"Case pg350, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes denser terminal field.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral hypothalamic area suprafornical region (LHAs),very strong,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Substantia innominata (SI),Infralimbic area (ILA),moderate/strong,Fluorogold,"Labeling was restricted to [] regions of the BF; that is, to SI, DBh and the medial and LS. Collator note: see Fig. 8 E-G, Swanson Atlas Levels 12-16.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Substantia innominata (SI),Anterior amygdaloid area (AAA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Basolateral nucleus of the amygdala (BLA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,CTB,"Retrogradely labeled neurons were found in the [...] substantia innominata (Fig. 4F) [...]. Collator note: Atlas 28-29, but the topography of the external capsule does not match with Fig 4F.",Mihail Bota,"Shin J.W., Geerling... - Inputs to the ventrolateral bed nucleus... (2008) , pp. 628-657"
Substantia innominata (SI),Central nucleus of amygdala (CEA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes numerous varicose fibres in medial segment.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Entorhinal area (ENT),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral habenula (LH),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes small puffs of labelled fibre in lateral and medial parts of nucleus.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral nucleus of the amygdala (LA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Mediodorsal nucleus of the thalamus (MD),moderate,PHAL,"Case pg350, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes denser terminal field.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral hypothalamic area suprafornical region (LHAs),very strong,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Substantia innominata (SI),Infralimbic area (ILA),moderate/strong,Fluorogold,"Labeling was restricted to [] regions of the BF; that is, to SI, DBh and the medial and LS. Collator note: see Fig. 8 E-G, Swanson Atlas Levels 12-16.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Substantia innominata (SI),Anterior amygdaloid area (AAA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Basolateral nucleus of the amygdala (BLA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,CTB,"Retrogradely labeled neurons were found in the [...] substantia innominata (Fig. 4F) [...]. Collator note: Atlas 28-29, but the topography of the external capsule does not match with Fig 4F.",Mihail Bota,"Shin J.W., Geerling... - Inputs to the ventrolateral bed nucleus... (2008) , pp. 628-657"
Substantia innominata (SI),Central nucleus of amygdala (CEA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes numerous varicose fibres in medial segment.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Entorhinal area (ENT),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral habenula (LH),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes small puffs of labelled fibre in lateral and medial parts of nucleus.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral nucleus of the amygdala (LA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Mediodorsal nucleus of the thalamus (MD),moderate,PHAL,"Case pg350, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes denser terminal field.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral hypothalamic area suprafornical region (LHAs),very strong,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Substantia innominata (SI),Infralimbic area (ILA),moderate/strong,Fluorogold,"Labeling was restricted to [] regions of the BF; that is, to SI, DBh and the medial and LS. Collator note: see Fig. 8 E-G, Swanson Atlas Levels 12-16.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Substantia innominata (SI),Anterior amygdaloid area (AAA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Basolateral nucleus of the amygdala (BLA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,CTB,"Retrogradely labeled neurons were found in the [...] substantia innominata (Fig. 4F) [...]. Collator note: Atlas 28-29, but the topography of the external capsule does not match with Fig 4F.",Mihail Bota,"Shin J.W., Geerling... - Inputs to the ventrolateral bed nucleus... (2008) , pp. 628-657"
Substantia innominata (SI),Central nucleus of amygdala (CEA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes numerous varicose fibres in medial segment.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Entorhinal area (ENT),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral habenula (LH),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes small puffs of labelled fibre in lateral and medial parts of nucleus.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral nucleus of the amygdala (LA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Mediodorsal nucleus of the thalamus (MD),moderate,PHAL,"Case pg350, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes denser terminal field.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral hypothalamic area suprafornical region (LHAs),very strong,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Substantia innominata (SI),Infralimbic area (ILA),moderate/strong,Fluorogold,"Labeling was restricted to [] regions of the BF; that is, to SI, DBh and the medial and LS. Collator note: see Fig. 8 E-G, Swanson Atlas Levels 12-16.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Substantia innominata (SI),Anterior amygdaloid area (AAA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Basolateral nucleus of the amygdala (BLA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),"Bed nuclei of the stria terminalis, anterior division, subcommisural zone (BSTsc)",moderate,CTB,"Retrogradely labeled neurons were found in the [...] substantia innominata (Fig. 4F) [...]. Collator note: Atlas 28-29, but the topography of the external capsule does not match with Fig 4F.",Mihail Bota,"Shin J.W., Geerling... - Inputs to the ventrolateral bed nucleus... (2008) , pp. 628-657"
Substantia innominata (SI),Central nucleus of amygdala (CEA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes numerous varicose fibres in medial segment.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Entorhinal area (ENT),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral habenula (LH),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes small puffs of labelled fibre in lateral and medial parts of nucleus.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Lateral nucleus of the amygdala (LA),moderate,PHAL,"Case pg349, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes not specified..",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
Substantia innominata (SI),Mediodorsal nucleus of the thalamus (MD),moderate,PHAL,"Case pg350, fig1. Soma notes PHA-L inj centred in dorsal SI, but intruded into ventral SI. Terminal notes denser terminal field.",Gully Burns,"Grove EA. - Efferent connections of the substantia... (1988) , pp. 347-64"
