From,To,Strength,Technique,Description,Collator,Reference
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area suprafornical region (LHAs),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Ventral premammillary nucleus (PMv),strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial nucleus of the amygdala posteroventral part (MEApv),moderate/strong,HRP,"Collator note: quite strong labeling in the BA and MEAav-ad. See Fig. 5D, Swanson Atlas Levels 26-27.",Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial nucleus of the amygdala anterodorsal part (MEAad),Bed nuclei of the stria terminalis anterior division dorsolateral nucleus (BSTdl),moderate,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Dorsal premammillary nucleus (PMd),moderate,CTB,"...marked cells were reliably observed in ventral parts of the medial amygdalar nucleus, including the anteroventral part and adjacent portions of the anterodorsal part, and the posteroventral part (Fig. 3H,J).",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area suprafornical region (LHAs),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Ventral premammillary nucleus (PMv),strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial nucleus of the amygdala posteroventral part (MEApv),moderate/strong,HRP,"Collator note: quite strong labeling in the BA and MEAav-ad. See Fig. 5D, Swanson Atlas Levels 26-27.",Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial nucleus of the amygdala anterodorsal part (MEAad),Bed nuclei of the stria terminalis anterior division dorsolateral nucleus (BSTdl),moderate,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Dorsal premammillary nucleus (PMd),moderate,CTB,"...marked cells were reliably observed in ventral parts of the medial amygdalar nucleus, including the anteroventral part and adjacent portions of the anterodorsal part, and the posteroventral part (Fig. 3H,J).",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area suprafornical region (LHAs),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Ventral premammillary nucleus (PMv),strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial nucleus of the amygdala posteroventral part (MEApv),moderate/strong,HRP,"Collator note: quite strong labeling in the BA and MEAav-ad. See Fig. 5D, Swanson Atlas Levels 26-27.",Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial nucleus of the amygdala anterodorsal part (MEAad),Bed nuclei of the stria terminalis anterior division dorsolateral nucleus (BSTdl),moderate,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Dorsal premammillary nucleus (PMd),moderate,CTB,"...marked cells were reliably observed in ventral parts of the medial amygdalar nucleus, including the anteroventral part and adjacent portions of the anterodorsal part, and the posteroventral part (Fig. 3H,J).",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area suprafornical region (LHAs),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Ventral premammillary nucleus (PMv),strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial nucleus of the amygdala posteroventral part (MEApv),moderate/strong,HRP,"Collator note: quite strong labeling in the BA and MEAav-ad. See Fig. 5D, Swanson Atlas Levels 26-27.",Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial nucleus of the amygdala anterodorsal part (MEAad),Bed nuclei of the stria terminalis anterior division dorsolateral nucleus (BSTdl),moderate,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Dorsal premammillary nucleus (PMd),moderate,CTB,"...marked cells were reliably observed in ventral parts of the medial amygdalar nucleus, including the anteroventral part and adjacent portions of the anterodorsal part, and the posteroventral part (Fig. 3H,J).",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area suprafornical region (LHAs),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Ventral premammillary nucleus (PMv),strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial nucleus of the amygdala posteroventral part (MEApv),moderate/strong,HRP,"Collator note: quite strong labeling in the BA and MEAav-ad. See Fig. 5D, Swanson Atlas Levels 26-27.",Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial nucleus of the amygdala anterodorsal part (MEAad),Bed nuclei of the stria terminalis anterior division dorsolateral nucleus (BSTdl),moderate,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Dorsal premammillary nucleus (PMd),moderate,CTB,"...marked cells were reliably observed in ventral parts of the medial amygdalar nucleus, including the anteroventral part and adjacent portions of the anterodorsal part, and the posteroventral part (Fig. 3H,J).",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area suprafornical region (LHAs),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Ventral premammillary nucleus (PMv),strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial nucleus of the amygdala posteroventral part (MEApv),moderate/strong,HRP,"Collator note: quite strong labeling in the BA and MEAav-ad. See Fig. 5D, Swanson Atlas Levels 26-27.",Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial nucleus of the amygdala anterodorsal part (MEAad),Bed nuclei of the stria terminalis anterior division dorsolateral nucleus (BSTdl),moderate,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Dorsal premammillary nucleus (PMd),moderate,CTB,"...marked cells were reliably observed in ventral parts of the medial amygdalar nucleus, including the anteroventral part and adjacent portions of the anterodorsal part, and the posteroventral part (Fig. 3H,J).",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area suprafornical region (LHAs),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Ventral premammillary nucleus (PMv),strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial nucleus of the amygdala posteroventral part (MEApv),moderate/strong,HRP,"Collator note: quite strong labeling in the BA and MEAav-ad. See Fig. 5D, Swanson Atlas Levels 26-27.",Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial nucleus of the amygdala anterodorsal part (MEAad),Bed nuclei of the stria terminalis anterior division dorsolateral nucleus (BSTdl),moderate,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Dorsal premammillary nucleus (PMd),moderate,CTB,"...marked cells were reliably observed in ventral parts of the medial amygdalar nucleus, including the anteroventral part and adjacent portions of the anterodorsal part, and the posteroventral part (Fig. 3H,J).",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area suprafornical region (LHAs),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Ventral premammillary nucleus (PMv),strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial nucleus of the amygdala posteroventral part (MEApv),moderate/strong,HRP,"Collator note: quite strong labeling in the BA and MEAav-ad. See Fig. 5D, Swanson Atlas Levels 26-27.",Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial nucleus of the amygdala anterodorsal part (MEAad),Bed nuclei of the stria terminalis anterior division dorsolateral nucleus (BSTdl),moderate,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Dorsal premammillary nucleus (PMd),moderate,CTB,"...marked cells were reliably observed in ventral parts of the medial amygdalar nucleus, including the anteroventral part and adjacent portions of the anterodorsal part, and the posteroventral part (Fig. 3H,J).",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area suprafornical region (LHAs),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic area (MPO),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial preoptic nucleus lateral part (MPNl),very strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Posterior periventricular nucleus of the hypothalamus (PVp),strong,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Ventral premammillary nucleus (PMv),strong,PHAL,ipsilateral,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Medial nucleus of the amygdala posteroventral part (MEApv),moderate/strong,HRP,"Collator note: quite strong labeling in the BA and MEAav-ad. See Fig. 5D, Swanson Atlas Levels 26-27.",Mihail Bota,"Luiten PG, Koolhaas... - The cortico-medial amygdala in the... (1985) , pp. 283-297"
Medial nucleus of the amygdala anterodorsal part (MEAad),Bed nuclei of the stria terminalis anterior division dorsolateral nucleus (BSTdl),moderate,PHAL,none provided,Larry Swanson,"Canteras N.S.,... - Organization of projections from the... (1995) , pp. 213-45"
Medial nucleus of the amygdala anterodorsal part (MEAad),Dorsal premammillary nucleus (PMd),moderate,CTB,"...marked cells were reliably observed in ventral parts of the medial amygdalar nucleus, including the anteroventral part and adjacent portions of the anterodorsal part, and the posteroventral part (Fig. 3H,J).",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area juxtaparaventricular region (LHAjp),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
Medial nucleus of the amygdala anterodorsal part (MEAad),Lateral hypothalamic area suprafornical region (LHAs),moderate,CTB,"Collator note: data directly collated from the associated paper See Table 1, pages 50-52.",Mihail Bota,"Hahn J.D., & Swanson... - Distinct patterns of neuronal inputs and... (2010) , pp. 14-103"
